Date,Signal
2018-12-21,1
2019-03-05,0
2019-03-30,1
2019-06-05,0
2019-06-16,1
2019-07-15,0
2019-08-08,1
2019-09-24,0
2019-10-27,1
2019-11-23,0
2020-01-15,1
2020-02-27,0
2020-04-24,1
2020-09-04,0
2020-10-21,1
2020-11-27,0
2020-12-01,1
2021-01-13,0
2021-02-06,1
2021-02-27,0
2021-03-12,1
2021-04-22,0
2021-07-26,1
2021-09-11,0
2021-10-05,1
2021-11-19,0
2022-02-05,1
2022-03-08,0
2022-03-26,1
2022-04-27,0
2022-07-19,1
2022-08-20,0
2022-10-27,1
2022-11-09,0
2023-01-13,1
2023-03-04,0
2023-03-14,1
2023-05-12,0
2023-06-22,1
2023-08-19,0
2023-10-20,1
2024-01-13,0
2024-02-09,1
2024-03-20,0
2024-05-16,1
