Date,Signal
2019-01-27,0
2018-12-27,1
2019-03-05,1
2019-01-27,0
2019-07-28,0
2019-03-05,1
2019-08-06,1
2019-07-28,0
2019-08-14,0
2019-08-06,1
2019-09-01,1
2019-08-14,0
2019-09-08,0
2019-09-01,1
2020-01-19,1
2019-09-08,0
2020-03-17,0
2020-01-19,1
2020-03-20,1
2020-03-17,0
2020-03-30,0
2020-03-20,1
2020-04-01,1
2020-03-30,0
2020-07-10,0
2020-04-01,1
2020-07-31,1
2020-07-10,0
2021-04-26,0
2020-07-31,1
2021-07-24,1
2021-04-26,0
2021-09-04,0
2021-07-24,1
2021-09-06,1
2021-09-04,0
2021-09-30,0
2021-09-06,1
2021-10-01,1
2021-09-30,0
2021-11-13,0
2021-10-01,1
2021-12-18,1
2021-11-13,0
2021-12-20,0
2021-12-18,1
2021-12-21,1
2021-12-20,0
2022-01-04,0
2021-12-21,1
2022-02-09,1
2022-01-04,0
2022-03-08,0
2022-02-09,1
2022-03-28,1
2022-03-08,0
2022-05-04,0
2022-03-28,1
2022-06-06,1
2022-05-04,0
2022-06-12,0
2022-06-06,1
2022-09-23,1
2022-06-12,0
2022-09-28,0
2022-09-23,1
2022-09-29,1
2022-09-28,0
2022-10-09,0
2022-09-29,1
2022-11-25,1
2022-10-09,0
2022-11-26,0
2022-11-25,1
2023-01-15,1
2022-11-26,0
2023-02-12,0
2023-01-15,1
2023-04-12,1
2023-02-12,0
2023-05-04,0
2023-04-12,1
2023-06-17,1
2023-05-04,0
2023-07-22,0
2023-06-17,1
2023-10-17,1
2023-07-22,0
2023-10-20,0
2023-10-17,1
2023-10-22,1
2023-10-20,0
2024-01-26,0
2023-10-22,1
2024-01-28,1
2024-01-26,0
2024-02-06,0
2024-01-28,1
2024-02-08,1
2024-02-06,0
2024-04-17,0
2024-02-08,1
2024-04-21,1
2024-04-17,0
2024-05-01,0
2024-04-21,1
2024-05-06,1
2024-05-01,0
2024-05-12,0
2024-05-06,1
2024-05-19,1
2024-05-12,0
2024-05-24,0
2024-05-19,1
2024-06-05,1
2024-05-24,0
2024-06-11,0
2024-06-05,1
,0
,0
